,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
0,In a Cinema Place,@a_cinema_place,2022-03-26T15:17:06.000Z,"In a Cinema Place
@a_cinema_place
·
Mar 26","MY 25 FAVORITE FILMS OF 2021

Honorable Mentions:
Benedetta
Saint Maud
The Green Knight
The Mitchells vs the Machines
Spencer
1
3
16",,1,3,16,"['https://pbs.twimg.com/media/FOyPovBWQAIy9C4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FOyPwbmXEAc9N0J?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FOyP7osXIAQ6Chx?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FOyQDULXoAEOqey?format=jpg&name=360x360']",https://twitter.com/a_cinema_place/status/1507738418587090949
1,SJWJamesBond Wants Nazis Banned ︽✵︽ Agent of GIRL,@mvbrat91,2022-03-26T21:10:01.000Z,"SJWJamesBond Wants Nazis Banned ︽✵︽ Agent of GIRL
@mvbrat91
·
Mar 26","I'd extend the list to include Saint Maud and Spider-Man: No Way Home.
SJWJamesBond Wants Nazis Banned ︽✵︽ Agent of GIRL
@mvbrat91
 · Mar 26
Eternals 
Halloween Kills 
Godzilla vs Kong
Shang-Chi and the Legend of the Ten Rings 
Censor 
The Suicide Squad 
Black Widow 
No Time To Die 
Encanto 
Spiral: From the Book of Saw twitter.com/Garebear__11/s…
1
1
5",,1,1,5,['https://pbs.twimg.com/profile_images/1190302203245936640/6GRSLnKf_mini.jpg'],https://twitter.com/mvbrat91/status/1507827235327299585
2,Paul James,@paul_james26,2022-03-26T17:22:22.000Z,"Paul James
@paul_james26
·
Mar 26","The best modern horror movies;
Hereditary
Midsommar
Saint Maud
Amulet
The Witch
Get Out
Relic
1
4",,1,,4,[],https://twitter.com/paul_james26/status/1507769946209755144
3,Lionel (maybe... who knows),@Lionel_Maybe,2022-03-26T21:09:21.000Z,"Lionel (maybe... who knows)
@Lionel_Maybe
·
Mar 26","My top 10 horror films of the last decade:

It Follows
The Night House
The Ritual
Antlers
Saint Maud
Nina Forever
A Quiet Place
Get Out
Under the Shadow
The Babadook
2
1",,2,,1,[],https://twitter.com/Lionel_Maybe/status/1507827066640683008
4,Anonymous Lawyer,@TurdEmoji,2022-03-26T01:12:34.000Z,"Anonymous Lawyer
@TurdEmoji
·
Mar 25","6. Saint Maud
5. The Lost Daughter
4. Pig
3. Mass
1",,1,,,"['https://pbs.twimg.com/media/FOvOyK2XIAAXhIY?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FOvOyK3XMAgPRFc?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FOvOyK5XMAolRTs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FOvOyK3XMAUDdwm?format=jpg&name=360x360']",https://twitter.com/TurdEmoji/status/1507525887385911298
5,Marcus Anthony Thomas,@chocuz,2022-03-26T22:07:16.000Z,"Marcus Anthony Thomas
@chocuz
·
Mar 26","Saint Maud is so good. Such a strong reference point for modern horror.
2
2",,2,,2,[],https://twitter.com/chocuz/status/1507841643587719177
6,stephen j,@rhonabwys,2022-03-26T00:03:18.000Z,"stephen j
@rhonabwys
·
Mar 25","jean is my magnum opus. my saint maud. my penda's fen. any other movie that deals with crazy religious experiences and sexuality idfk
1",,1,,,[],https://twitter.com/rhonabwys/status/1507508453295730695
7,Alex Pagliuca,@alexapagliuca,2022-03-26T09:28:30.000Z,"Alex Pagliuca
@alexapagliuca
·
Mar 26","No 4k Saint Maud in the US. Why?
Alex Pagliuca
@alexapagliuca
 · Mar 26
I'm going to have to break down and get a 4k player. There's a lot stuff not available in 4k on  digital platforms, that I would buy.",,,,,['https://pbs.twimg.com/profile_images/1507171269954916354/ALTfVMIV_mini.jpg'],https://twitter.com/alexapagliuca/status/1507650691275370497
8,Antifente 𖤐,@Antifente,2022-03-26T16:08:00.000Z,"Antifente 𖤐
@Antifente
·
Mar 26","Replying to 
@PetrPedroPiotr
""Saint Maud"", ""Possum"" und ""The Dark and the Wicked""
2
4",,2,,4,[],https://twitter.com/Antifente/status/1507751231695032321
9,I have the king’s ruby,@ddamico,2022-03-26T22:14:40.000Z,"I have the king’s ruby
@ddamico
·
Mar 26","ddamico watched movie ""Saint Maud (2019)"" on housebot-plex-2",,,,,[],https://twitter.com/ddamico/status/1507843506445950978
